ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,codeReference,status,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Countries,Family_ID,Language_ID.y
kolp1236-aes,kolp1236,aes,3,aes-shifting,"Kol (10809-kol) = Threatened (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Kol (Papua New Guinea),Papunesia,-5.21042,151.583,kolp1236,kol,PG,NA,NA
tana1288-aes,tana1288,aes,3,aes-shifting,"Tanahmerah (10732-tcm) = Endangered (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Tanahmerah,Papunesia,-2.5523,133.18,tana1288,tcm,ID,NA,NA
touo1238-aes,touo1238,aes,3,aes-shifting,"Touo (10811-tqu) = Threatened (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Touo,Papunesia,-8.58405,157.296,touo1238,tqu,SB,NA,NA
bert1248-aes,bert1248,aes,3,aes-shifting,"Fadashi (5931-wti-fad) = Threatened (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Berta,Africa,10.6474,34.7042,bert1248,wti,ET;SD,NA,NA
sius1254-aes,sius1254,aes,6,aes-extinct,Siuslaw (8390-sis) = Dormant,hh:hel:Campbell:ElCat,NA,extinct,Siuslaw,North America,42.5111,-124.379,sius1254,sis,US,NA,NA
cent2045-aes,cent2045,aes,6,aes-extinct,Jalaa (cet-cet) = 10 (Extinct).,NA,NA,extinct,Jalaa,Africa,9.59433,11.5853,cent2045,cet,NG,NA,NA
else1239-aes,else1239,aes,3,aes-shifting,"Elseng (10679-mrf) = Endangered (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Elseng,Papunesia,-3.00176,140.418,else1239,mrf,ID,NA,NA
taia1239-aes,taia1239,aes,4,aes-moribund,"Taiap (2216-gpn) = Severely Endangered (60 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,moribund,Taiap,Papunesia,-4.05047,144.506,taia1239,gpn,PG,NA,NA
pyuu1245-aes,pyuu1245,aes,3,aes-shifting,"Pyu (4950-pby) = Endangered (60 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Pyu,Papunesia,-4.45003,141.018,pyuu1245,pby,ID;PG,NA,NA
mato1253-aes,mato1253,aes,6,aes-extinct,Arára of Mato Grosso (3032-axg) = Dormant,hh:hel:Campbell:ElCat,NA,extinct,Mato Grosso Arára,South America,-9.172609,-60.628867,mato1253,axg,BR,NA,NA
tabo1241-aes,tabo1241,aes,3,aes-shifting,"Tabo (6674-knv) = Threatened (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Tabo,Papunesia,-8.09387,143.305,tabo1241,knv,PG,NA,NA
kano1245-aes,kano1245,aes,5,aes-nearly_extinct,"Kapixaná (3113-kxo) = Critically Endangered (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,nearly_extinct,Kanoê,South America,-12.1789,-64.5812,kano1245,kxo,BR,NA,NA
kunz1244-aes,kunz1244,aes,6,aes-extinct,Atacameño (573-kuz) = Extinct,hh:hel:Moseley:Atlas:2010,NA,extinct,Kunza,South America,-23,-69,kunz1244,kuz,CL,NA,NA
usku1243-aes,usku1243,aes,3,aes-shifting,"Afra (2799-ulf) = Threatened (60 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Usku,Papunesia,-3.63853,140.502,usku1243,ulf,ID,NA,NA
mose1249-aes,mose1249,aes,2,aes-threatened,"Mosetén (2428-cas) = Vulnerable (80 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,threatened,Mosetén-Chimané,South America,-14.64448,-67.83756,mose1249,cas,BO,NA,NA
atac1235-aes,atac1235,aes,6,aes-extinct,Atacame (NOCODE_Atacame-NOCODE_Atacame) = 10 (Extinct).,NA,NA,extinct,Atacame,South America,0.834931,-79.778137,atac1235,NA,EC,NA,NA
tini1245-aes,tini1245,aes,5,aes-nearly_extinct,"Tinigua (2146-tit) = Critically Endangered (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,nearly_extinct,Tinigua,South America,2.716,-73.768,tini1245,tit,CO,NA,NA
pele1245-aes,pele1245,aes,3,aes-shifting,"Pele-Ata (10807-ata) = Threatened (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Pele-Ata,Papunesia,-5.58045,151.05,pele1245,ata,PG,NA,NA
hrus1242-aes,hrus1242,aes,3,aes-shifting,"Levai (5657-hru-lev) = Threatened (20 percent certain, based on the evidence available); Hruso (4278-hru) = Threatened (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Hruso,Eurasia,27.27,92.63,hrus1242,hru,IN,NA,NA
beot1247-aes,beot1247,aes,6,aes-extinct,Beothuk (bue-bue) = 10 (Extinct).,NA,NA,extinct,Beothuk,North America,48,-57,beot1247,bue,CA,NA,NA
kena1236-aes,kena1236,aes,6,aes-extinct,Kenaboi (2286-) = Extinct,hh:hel:Moseley:Atlas:2010,NA,extinct,Kenaboi,Eurasia,3.154162,102.01596,kena1236,xbn,MY,NA,NA
niha1238-aes,niha1238,aes,3,aes-shifting,"Nihali (4879-nll) = Threatened (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Nihali,Eurasia,21.1886,76.3318,niha1238,nll,IN,NA,NA
omur1241-aes,omur1241,aes,6,aes-extinct,Omurano (omu-omu) = 10 (Extinct).,hh:h:Ethnologue:25,NA,extinct,Omurano,South America,-4.816667,-75.4,omur1241,omu,PE,NA,NA
garr1260-aes,garr1260,aes,6,aes-extinct,Garawa (gbc-gbc) = 10 (Extinct),NA,NA,extinct,Garrwan,Australia,NA,NA,garr1260,gbc,AU,NA,NA
wadj1254-aes,wadj1254,aes,4,aes-moribund,"Batjamalh (3360-wdj) = Severely Endangered (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,moribund,Wadjiginy,Australia,-12.8596,130.737,wadj1254,wdj,AU,NA,NA
seri1257-aes,seri1257,aes,3,aes-shifting,"Seri (5846-sei) = Threatened (80 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Seri,North America,28.9877,-112.384,seri1257,sei,MX,NA,NA
duna1248-aes,duna1248,aes,1,aes-not_endangered,Duna (duc-duc) = 6a (Vigorous).,hh:h:Ethnologue:25,NA,not_endangered,Duna,Papunesia,-5.41439,142.475,duna1248,duc,PG,NA,NA
vile1241-aes,vile1241,aes,6,aes-extinct,Vilela (1849-vil) = Dormant,hh:hel:Campbell:ElCat,NA,extinct,Vilela,South America,-27.4063,-58.9661,vile1241,vil,AR,NA,NA
shab1252-aes,shab1252,aes,4,aes-moribund,"Shabo (1379-sbf) = Severely Endangered (80 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,moribund,Shabo,Africa,7.64407,35.223,shab1252,sbf,ET,NA,NA
sali1253-aes,sali1253,aes,6,aes-extinct,Antoniano (838-sln) = Extinct; Migueleño (839-sln) = Extinct,hh:hel:Moseley:Atlas:2010,NA,extinct,Salinan,North America,37.6646,-121.718,sali1253,sln,US,NA,NA
come1251-aes,come1251,aes,6,aes-extinct,Comecrudo (xcm-xcm) = 10 (Extinct).,NA,NA,extinct,Comecrudan,North America,26.1333,-98.4667,come1251,xcm,MX,NA,NA
tamb1257-aes,tamb1257,aes,6,aes-extinct,Tambora (xxt-xxt) = 10 (Extinct).,NA,NA,extinct,Tambora,Papunesia,-8.25,118,tamb1257,xxt,ID,NA,NA
coah1252-aes,coah1252,aes,6,aes-extinct,Coahuilteco (xcw-xcw) = 10 (Extinct).,NA,NA,extinct,Coahuilteco,North America,28.2589,-97.89,coah1252,xcw,US,NA,NA
bilu1245-aes,bilu1245,aes,3,aes-shifting,"Bilua (10808-blb) = Threatened (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Bilua,Papunesia,-7.92388,156.663,bilu1245,blb,SB,NA,NA
muni1258-aes,muni1258,aes,6,aes-extinct,Muniche (myr-myr) = 10 (Extinct).,NA,NA,extinct,Muniche,South America,-5.7441796,-76.426712,muni1258,myr,PE,NA,NA
taus1253-aes,taus1253,aes,5,aes-nearly_extinct,"Taushiro (2163-trr) = Critically Endangered (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,nearly_extinct,Taushiro,South America,-3.22497,-75.5603,taus1253,trr,PE,NA,NA
cand1248-aes,cand1248,aes,3,aes-shifting,"Candoshi (1958-cbu) = Threatened (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Candoshi-Shapra,South America,-4.23835,-76.9347,cand1248,cbu,PE,NA,NA
guam1236-aes,guam1236,aes,6,aes-extinct,Guamo (NOCODE_Guamo-NOCODE_Guamo) = 10 (Extinct).,NA,NA,extinct,Guamo,South America,8.2351027,-67.4018753,guam1236,NA,VE,NA,NA
ando1256-aes,ando1256,aes,3,aes-shifting,"Andoque (676-ano) = Endangered (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Andoque,South America,-0.53751,-72.0869,ando1256,ano,CO,NA,NA
guac1239-aes,guac1239,aes,6,aes-extinct,Guachi (NOCODE_Guachi-NOCODE_Guachi) = 10 (Extinct).,NA,NA,extinct,Guachi,South America,-19.5572257,-57.5663223,guac1239,NA,BR,NA,NA
etru1241-aes,etru1241,aes,6,aes-extinct,Etruscan (ett-ett) = 10 (Extinct).,NA,NA,extinct,Etruscan,Eurasia,41.9,12.4833,etru1241,ett,IT,NA,NA
yele1255-aes,yele1255,aes,3,aes-shifting,"Yele (10812-yle) = Threatened (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Yele,Papunesia,-11.3796,154.127,yele1255,yle,PG,NA,NA
kari1254-aes,kari1254,aes,6,aes-extinct,Kipea (NOCODE_Kipea-NOCODE_Kipea) = 10 (Extinct).,NA,NA,extinct,Kariri,South America,-7.434628,-40.487275,kari1254,NA,BR,NA,NA
yuru1243-aes,yuru1243,aes,6,aes-extinct,Yurumanguí (NOCODE_Yurumangui-NOCODE_Yurumangui) = 10 (Extinct).,NA,NA,extinct,Yurumanguí,South America,3.436864,-76.522636,yuru1243,NA,CO,NA,NA
abis1238-aes,abis1238,aes,6,aes-extinct,Tequiraca (3665-ash) = Dormant,hh:hel:Campbell:ElCat,NA,extinct,Aewa,South America,-1.284096,-75.084405,abis1238,ash,PE,NA,NA
moro1289-aes,moro1289,aes,3,aes-shifting,"Marori (2719-mok) = Endangered (100 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Marori,Papunesia,-8.5692,140.688,moro1289,mok,ID,NA,NA
oyst1235-aes,oyst1235,aes,6,aes-extinct,Oyster Bay-Big River-Little Swanport (NOCODE_Oyster-Bay-Big-River-Little-Swanport-NOCODE_Oyster-Bay-Big-River-Little-Swanport) = 10 (Extinct).,NA,NA,extinct,Oyster Bay-Big River-Little Swanport,Australia,-42.307378,147.50061,oyst1235,NA,AU,NA,NA
savo1255-aes,savo1255,aes,3,aes-shifting,"Savosavo (2490-svs) = Threatened (40 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Savosavo,Papunesia,-9.12853,159.814,savo1255,svs,SB,NA,NA
shom1245-aes,shom1245,aes,3,aes-shifting,"Shom Peng (5146-sii) = Threatened (60 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Shom Peng,Eurasia,7.02099,93.8064,shom1245,sii,IN,NA,NA
buru1296-aes,buru1296,aes,3,aes-shifting,"Burushaski (1614-bsk) = Threatened (80 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Burushaski,Eurasia,36.2161,74.8236,buru1296,bsk,IN;PK,NA,NA
kwaz1243-aes,kwaz1243,aes,4,aes-moribund,"Kwaza (3033-xwa) = Severely Endangered (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,moribund,Kwaza,South America,-11.6667,-61.1833,kwaz1243,xwa,BR,NA,NA
yuch1247-aes,yuch1247,aes,5,aes-nearly_extinct,"Yuchi (1002-yuc) = Critically Endangered (80 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,nearly_extinct,Yuchi,North America,35.75,-86.75,yuch1247,yuc,US,NA,NA
morb1239-aes,morb1239,aes,4,aes-moribund,"Mor (Bomberai Peninsula, Indonesia) (2718-moq) = Severely Endangered (40 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,moribund,Mor (Bomberai Peninsula),Papunesia,-2.85747,132.845,morb1239,moq,ID,NA,NA
siam1242-aes,siam1242,aes,1,aes-not_endangered,Siamou (sif-sif) = 6a* (Vigorous).,hh:h:Ethnologue:25,NA,not_endangered,Siamou,Africa,10.998,-4.92143,siam1242,sif,BF;CI;ML,NA,NA
wara1303-aes,wara1303,aes,2,aes-threatened,"Warao (1953-wba) = Vulnerable (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,threatened,Warao,South America,7.50851,-59.3528,wara1303,wba,GY;SR;VE,NA,NA
guai1237-aes,guai1237,aes,6,aes-extinct,Guaicurian (NOCODE_Guaicurian-NOCODE_Guaicurian) = 10 (Extinct).,NA,NA,extinct,Guaicurian,North America,24.1666666667,-110.3,guai1237,NA,MX,NA,NA
yuwa1244-aes,yuwa1244,aes,3,aes-shifting,"Jotí (2902-yau) = Endangered (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Hoti,South America,5.63879,-65.4267,yuwa1244,yau,VE,NA,NA
tall1235-aes,tall1235,aes,6,aes-extinct,Tallán (NOCODE_Tallan-NOCODE_Tallan) = 10 (Extinct).,NA,NA,extinct,Tallán,South America,-5.330824,-80.651093,tall1235,NA,PE,NA,NA
guri1248-aes,guri1248,aes,3,aes-shifting,"Guriaso (4242-grx) = Endangered (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,shifting,Guriaso,Papunesia,-3.5718,141.597,guri1248,grx,PG,NA,NA
